Vehicle_Type,Vehicle_Route_Name,Latitude,Longitude,ID,Waypoint_ID
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.83562000,120.97457000,TP144,BOCAUE EXIT-SAPANG PALAY_2.2_TP144
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.83571000,120.97479000,TP145,BOCAUE EXIT-SAPANG PALAY_2.2_TP145
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.83577000,120.97489000,TP146,BOCAUE EXIT-SAPANG PALAY_2.2_TP146
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.83611000,120.97565000,TP147,BOCAUE EXIT-SAPANG PALAY_2.2_TP147
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.83613000,120.97569000,TP148,BOCAUE EXIT-SAPANG PALAY_2.2_TP148
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.83642000,120.97649000,TP149,BOCAUE EXIT-SAPANG PALAY_2.2_TP149
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.83633000,120.97656000,TP150,BOCAUE EXIT-SAPANG PALAY_2.2_TP150
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.83624000,120.97662000,TP151,BOCAUE EXIT-SAPANG PALAY_2.2_TP151
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.83623810,120.97662040,TP152,BOCAUE EXIT-SAPANG PALAY_2.2_TP152
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.83599000,120.97645000,TP153,BOCAUE EXIT-SAPANG PALAY_2.2_TP153
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.83564000,120.97620000,TP154,BOCAUE EXIT-SAPANG PALAY_2.2_TP154
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.83542000,120.97608000,TP155,BOCAUE EXIT-SAPANG PALAY_2.2_TP155
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.83520000,120.97600000,TP156,BOCAUE EXIT-SAPANG PALAY_2.2_TP156
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.83503000,120.97593000,TP157,BOCAUE EXIT-SAPANG PALAY_2.2_TP157
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.83489000,120.97588000,TP158,BOCAUE EXIT-SAPANG PALAY_2.2_TP158
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.83452000,120.97573000,TP159,BOCAUE EXIT-SAPANG PALAY_2.2_TP159
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.83445000,120.97565000,TP160,BOCAUE EXIT-SAPANG PALAY_2.2_TP160
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.83436000,120.97559000,TP161,BOCAUE EXIT-SAPANG PALAY_2.2_TP161
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.83387000,120.97525000,TP162,BOCAUE EXIT-SAPANG PALAY_2.2_TP162
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.83368000,120.97510000,TP163,BOCAUE EXIT-SAPANG PALAY_2.2_TP163
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.83258000,120.97435000,TP164,BOCAUE EXIT-SAPANG PALAY_2.2_TP164
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.83209000,120.97400000,TP165,BOCAUE EXIT-SAPANG PALAY_2.2_TP165
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.83168000,120.97372000,TP166,BOCAUE EXIT-SAPANG PALAY_2.2_TP166
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.83049000,120.97291000,TP167,BOCAUE EXIT-SAPANG PALAY_2.2_TP167
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.83016000,120.97267000,TP168,BOCAUE EXIT-SAPANG PALAY_2.2_TP168
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.82997000,120.97253000,TP169,BOCAUE EXIT-SAPANG PALAY_2.2_TP169
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.82920000,120.97199000,TP170,BOCAUE EXIT-SAPANG PALAY_2.2_TP170
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.82771000,120.97099000,TP171,BOCAUE EXIT-SAPANG PALAY_2.2_TP171
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.82731000,120.97071000,TP172,BOCAUE EXIT-SAPANG PALAY_2.2_TP172
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.82711000,120.97057000,TP173,BOCAUE EXIT-SAPANG PALAY_2.2_TP173
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.82679000,120.97032000,TP174,BOCAUE EXIT-SAPANG PALAY_2.2_TP174
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.82598000,120.96977000,TP175,BOCAUE EXIT-SAPANG PALAY_2.2_TP175
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.82562000,120.96950000,TP176,BOCAUE EXIT-SAPANG PALAY_2.2_TP176
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.82546000,120.96940000,TP177,BOCAUE EXIT-SAPANG PALAY_2.2_TP177
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.82546230,120.96939530,TP178,BOCAUE EXIT-SAPANG PALAY_2.2_TP178
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.82535000,120.96955000,TP179,BOCAUE EXIT-SAPANG PALAY_2.2_TP179
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.82526000,120.96966000,TP180,BOCAUE EXIT-SAPANG PALAY_2.2_TP180
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.82518000,120.96976000,TP181,BOCAUE EXIT-SAPANG PALAY_2.2_TP181
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.82511000,120.96981000,TP182,BOCAUE EXIT-SAPANG PALAY_2.2_TP182
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.82505000,120.96983000,TP183,BOCAUE EXIT-SAPANG PALAY_2.2_TP183
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.82484000,120.96990000,TP184,BOCAUE EXIT-SAPANG PALAY_2.2_TP184
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.82453000,120.96996000,TP185,BOCAUE EXIT-SAPANG PALAY_2.2_TP185
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.82447000,120.96998000,TP186,BOCAUE EXIT-SAPANG PALAY_2.2_TP186
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.82333000,120.97029000,TP187,BOCAUE EXIT-SAPANG PALAY_2.2_TP187
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.82333330,120.97028880,TP188,BOCAUE EXIT-SAPANG PALAY_2.2_TP188
